event.day,event.month,n,july4,date
14,Nov,309,0,2016-11-14
14,Oct,286,0,2016-10-14
14,Sep,319,0,2016-09-14
15,Apr,317,0,2016-04-15
15,Aug,561,0,2016-08-15
15,Dec,275,0,2016-12-15
15,Feb,273,0,2016-02-15
15,Jan,303,0,2016-01-15
15,Jul,540,0,2016-07-15
15,Jun,510,0,2016-06-15
15,Mar,346,0,2016-03-15
15,May,344,0,2016-05-15
15,Nov,380,0,2016-11-15
15,Oct,489,0,2016-10-15
15,Sep,454,0,2016-09-15
16,Apr,255,0,2016-04-16
16,Aug,299,0,2016-08-16
16,Dec,190,0,2016-12-16
16,Feb,223,0,2016-02-16
16,Jan,222,0,2016-01-16
16,Jul,283,0,2016-07-16
16,Jun,230,0,2016-06-16
16,Mar,211,0,2016-03-16
16,May,165,0,2016-05-16
16,Nov,472,0,2016-11-16
16,Oct,278,0,2016-10-16
16,Sep,264,0,2016-09-16
17,Apr,218,0,2016-04-17
17,Aug,291,0,2016-08-17
17,Dec,203,0,2016-12-17
17,Feb,200,0,2016-02-17
17,Jan,191,0,2016-01-17
17,Jul,312,0,2016-07-17
17,Jun,230,0,2016-06-17
17,Mar,202,0,2016-03-17
17,May,197,0,2016-05-17
17,Nov,318,0,2016-11-17
17,Oct,292,0,2016-10-17
17,Sep,297,0,2016-09-17
18,Apr,206,0,2016-04-18
18,Aug,291,0,2016-08-18
18,Dec,187,0,2016-12-18
18,Feb,182,0,2016-02-18
18,Jan,222,0,2016-01-18
18,Jul,297,0,2016-07-18
18,Jun,261,0,2016-06-18
18,Mar,207,0,2016-03-18
18,May,195,0,2016-05-18
18,Nov,299,0,2016-11-18
18,Oct,294,0,2016-10-18
18,Sep,316,0,2016-09-18
19,Apr,191,0,2016-04-19
19,Aug,326,0,2016-08-19
19,Dec,173,0,2016-12-19
19,Feb,201,0,2016-02-19
19,Jan,177,0,2016-01-19
19,Jul,243,0,2016-07-19
19,Jun,288,0,2016-06-19
19,Mar,206,0,2016-03-19
19,May,210,0,2016-05-19
19,Nov,301,0,2016-11-19
19,Oct,294,0,2016-10-19
19,Sep,403,0,2016-09-19
20,Apr,243,0,2016-04-20
20,Aug,359,0,2016-08-20
20,Dec,187,0,2016-12-20
20,Feb,217,0,2016-02-20
20,Jan,213,0,2016-01-20
20,Jul,313,0,2016-07-20
20,Jun,304,0,2016-06-20
20,Mar,215,0,2016-03-20
20,May,247,0,2016-05-20
20,Nov,280,0,2016-11-20
20,Oct,340,0,2016-10-20
20,Sep,338,0,2016-09-20
21,Apr,204,0,2016-04-21
21,Aug,308,0,2016-08-21
21,Dec,196,0,2016-12-21
21,Feb,177,0,2016-02-21
21,Jan,153,0,2016-01-21
21,Jul,267,0,2016-07-21
21,Jun,284,0,2016-06-21
21,Mar,200,0,2016-03-21
21,May,195,0,2016-05-21
21,Nov,213,0,2016-11-21
21,Oct,276,0,2016-10-21
21,Sep,309,0,2016-09-21
22,Apr,223,0,2016-04-22
22,Aug,293,0,2016-08-22
22,Dec,256,0,2016-12-22
22,Feb,213,0,2016-02-22
22,Jan,159,0,2016-01-22
22,Jul,244,0,2016-07-22
22,Jun,288,0,2016-06-22
22,Mar,179,0,2016-03-22
22,May,191,0,2016-05-22
22,Nov,286,0,2016-11-22
22,Oct,298,0,2016-10-22
22,Sep,336,0,2016-09-22
23,Apr,205,0,2016-04-23
23,Aug,299,0,2016-08-23
23,Dec,208,0,2016-12-23
23,Feb,214,0,2016-02-23
23,Jan,185,0,2016-01-23
23,Jul,289,0,2016-07-23
23,Jun,290,0,2016-06-23
23,Mar,191,0,2016-03-23
23,May,180,0,2016-05-23
23,Nov,251,0,2016-11-23
23,Oct,309,0,2016-10-23
23,Sep,322,0,2016-09-23
24,Apr,214,0,2016-04-24
24,Aug,303,0,2016-08-24
24,Dec,314,0,2016-12-24
24,Feb,190,0,2016-02-24
24,Jan,218,0,2016-01-24
24,Jul,256,0,2016-07-24
24,Jun,261,0,2016-06-24
24,Mar,156,0,2016-03-24
24,May,205,0,2016-05-24
24,Nov,244,0,2016-11-24
24,Oct,304,0,2016-10-24
24,Sep,271,0,2016-09-24
25,Apr,193,0,2016-04-25
25,Aug,337,0,2016-08-25
25,Dec,277,0,2016-12-25
25,Feb,171,0,2016-02-25
25,Jan,216,0,2016-01-25
25,Jul,306,0,2016-07-25
25,Jun,274,0,2016-06-25
25,Mar,177,0,2016-03-25
25,May,218,0,2016-05-25
25,Nov,219,0,2016-11-25
25,Oct,270,0,2016-10-25
25,Sep,312,0,2016-09-25
26,Apr,198,0,2016-04-26
26,Aug,241,0,2016-08-26
26,Dec,182,0,2016-12-26
26,Feb,183,0,2016-02-26
26,Jan,158,0,2016-01-26
26,Jul,266,0,2016-07-26
26,Jun,242,0,2016-06-26
26,Mar,167,0,2016-03-26
26,May,226,0,2016-05-26
26,Nov,218,0,2016-11-26
26,Oct,263,0,2016-10-26
26,Sep,300,0,2016-09-26
27,Apr,197,0,2016-04-27
27,Aug,281,0,2016-08-27
27,Dec,182,0,2016-12-27
27,Feb,187,0,2016-02-27
27,Jan,168,0,2016-01-27
27,Jul,376,0,2016-07-27
27,Jun,243,0,2016-06-27
27,Mar,166,0,2016-03-27
27,May,178,0,2016-05-27
27,Nov,213,0,2016-11-27
27,Oct,220,0,2016-10-27
27,Sep,356,0,2016-09-27
28,Apr,191,0,2016-04-28
28,Aug,285,0,2016-08-28
28,Dec,215,0,2016-12-28
28,Feb,190,0,2016-02-28
28,Jan,204,0,2016-01-28
28,Jul,268,0,2016-07-28
28,Jun,258,0,2016-06-28
28,Mar,168,0,2016-03-28
28,May,208,0,2016-05-28
28,Nov,308,0,2016-11-28
28,Oct,270,0,2016-10-28
28,Sep,325,0,2016-09-28
29,Apr,222,0,2016-04-29
29,Aug,244,0,2016-08-29
29,Dec,218,0,2016-12-29
29,Feb,55,0,2016-02-29
29,Jan,191,0,2016-01-29
29,Jul,271,0,2016-07-29
29,Jun,273,0,2016-06-29
29,Mar,195,0,2016-03-29
29,May,210,0,2016-05-29
29,Nov,202,0,2016-11-29
29,Oct,268,0,2016-10-29
29,Sep,268,0,2016-09-29
30,Apr,175,0,2016-04-30
30,Aug,300,0,2016-08-30
30,Dec,172,0,2016-12-30
30,Jan,158,0,2016-01-30
30,Jul,261,0,2016-07-30
30,Jun,446,0,2016-06-30
30,Mar,197,0,2016-03-30
30,May,216,0,2016-05-30
30,Nov,219,0,2016-11-30
30,Oct,258,0,2016-10-30
30,Sep,306,0,2016-09-30
31,Aug,309,0,2016-08-31
31,Dec,524,0,2016-12-31
31,Jan,180,0,2016-01-31
31,Jul,292,0,2016-07-31
31,Mar,177,0,2016-03-31
31,May,177,0,2016-05-31
31,Oct,435,0,2016-10-31
